,city,price,bathrooms,bedrooms,livingArea,homeType,taxAssessedValue,Price/sqft,HasFlooring,HasHeating,HasCooling,HasGarageSpace,HasLaundary,HasFirePlace,HasPool,Employment,Schools,Crime
108,Berkeley,995000,1,3,1290,SINGLE_FAMILY,1235124,771.3178295,Yes,Yes,No,Yes,Yes,Yes,No,B-,A,F
109,Berkeley,1195000,2,3,1293,SINGLE_FAMILY,710554,924.2072699,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
110,Berkeley,1088000,3,4,1814,SINGLE_FAMILY,68849,599.7794928,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
111,Berkeley,1495000,2,3,1727,SINGLE_FAMILY,1030145,865.6629994,Yes,Yes,Yes,Yes,No,Yes,No,B-,A,F
112,Berkeley,1098000,3,3,1328,SINGLE_FAMILY,678097,826.8072289,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
113,Berkeley,1399000,2,4,2500,MULTI_FAMILY,1012276,559.6,Yes,Yes,Yes,Yes,No,Yes,No,B-,A,F
114,Berkeley,1050000,1,3,1268,SINGLE_FAMILY,627286,828.0757098,Yes,Yes,No,Yes,No,Yes,No,B-,A,F
115,Berkeley,1300000,0,3,2634,MULTI_FAMILY,1295000,493.5459377,No,No,No,Yes,No,Yes,No,B-,A,F
116,Berkeley,1775000,2,3,1915,SINGLE_FAMILY,1374853,926.8929504,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
117,Berkeley,1249000,3,3,1685,MULTI_FAMILY,247295,741.2462908,Yes,Yes,Yes,Yes,Yes,Yes,No,B-,A,F
118,Berkeley,1120000,2,4,1804,SINGLE_FAMILY,54293,620.8425721,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
119,Berkeley,1099000,1,3,1236,SINGLE_FAMILY,1453500,889.1585761,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
